test_id,parameter,value,execution_time,rows,throughput,sample_fraction
20250505_021346,cores,4,12.888979434967041,10305349,799547.322733885,0.2
20250505_021346,cores,8,11.321568727493286,10305349,910240.378170783,0.2
20250505_021346,cores,12,12.608935356140137,10305349,817305.2449651614,0.2
20250505_021346,cores,16,11.470280408859253,10305349,898439.1516741387,0.2
20250505_021346,memory,2g,12.242541313171387,10305349,841765.5073716419,0.2
20250505_021346,memory,4g,11.494102954864502,10305349,896577.0569889144,0.2
20250505_021346,memory,8g,17.190045833587646,10305349,599495.1438619419,0.2
20250505_021346,memory,16g,23.60925579071045,10305349,436496.13911400177,0.2
20250505_021346,parallelism,1,21.70248532295227,10305349,474846.4909270642,0.2
20250505_021346,parallelism,2,30.24050283432007,10305349,340779.68400394515,0.2
20250505_021346,parallelism,4,27.06798553466797,10305349,380720.94381760247,0.2
20250505_021346,parallelism,8,31.9484601020813,10305349,322561.68112868303,0.2
20250505_021346,parallelism,16,28.771905660629272,10305349,358174.01605419454,0.2
