test_id,parameter,value,execution_time,rows,throughput,sample_fraction
20250505_013720,cores,4,48.64790153503418,10305349,211835.42711659454,0.2
20250505_013720,cores,8,39.56329417228699,10305349,260477.52634356258,0.2
20250505_013720,cores,12,23.032377243041992,10305349,447428.80386405677,0.2
20250505_013720,cores,16,23.726287841796875,10305349,434343.08260586037,0.2
20250505_013720,memory,2g,27.952568292617798,10305349,368672.70628300786,0.2
20250505_013720,memory,4g,40.55784487724304,10305349,254090.15274828667,0.2
20250505_013720,memory,8g,51.99408721923828,10305349,198202.32551725474,0.2
20250505_013720,memory,16g,23.563788652420044,10305349,437338.3733834169,0.2
20250505_013720,parallelism,1,26.43080997467041,10305349,389899.09919052746,0.2
20250505_013720,parallelism,2,27.29057025909424,10305349,377615.74427217664,0.2
20250505_013720,parallelism,4,61.3563117980957,10305349,167959.0688878376,0.2
20250505_013720,parallelism,8,24.26302742958069,10305349,424734.67212241027,0.2
20250505_013720,parallelism,16,26.70822548866272,10305349,385849.25847561384,0.2
