test_id,parameter,value,execution_time,rows,throughput,sample_fraction
20250505_002823,cores,4,51.777321577072144,10305349,199032.0991142844,0.2
20250505_002823,cores,8,27.907098054885864,10305349,369273.4006141416,0.2
20250505_002823,cores,12,27.062289714813232,10305349,380801.07443233475,0.2
20250505_002823,cores,16,35.12364077568054,10305349,293402.0725760121,0.2
20250505_002823,memory,2g,25.98143696784973,10305349,396642.76509233,0.2
20250505_002823,memory,4g,46.70778179168701,10305349,220634.51966015078,0.2
20250505_002823,memory,8g,59.27944326400757,10305349,173843.55237791262,0.2
20250505_002823,memory,16g,25.736092805862427,10305349,400423.99123042263,0.2
20250505_002823,parallelism,1,24.41287636756897,10305349,422127.60368090146,0.2
20250505_002823,parallelism,2,25.337205171585083,10305349,406727.92954911775,0.2
20250505_002823,parallelism,4,22.767349243164062,10305349,452637.1906511778,0.2
20250505_002823,parallelism,8,44.366692304611206,10305349,232276.7027401077,0.2
20250505_002823,parallelism,16,37.55887269973755,10305349,274378.54917493335,0.2
