test_id,parameter,value,execution_time,row_count,throughput,success,table_name
20250504_200049,cores,4,272.9364411830902,603734,2211.994841667205,True,full_pipeline_cores_4_20250504_200049
20250504_200049,cores,8,244.2582643032074,603734,2471.7034722336402,True,full_pipeline_cores_8_20250504_200049
20250504_200049,cores,12,288.9060411453247,603734,2089.7243879241396,True,full_pipeline_cores_12_20250504_200049
20250504_200049,cores,16,264.2536039352417,603734,2284.6765039690877,True,full_pipeline_cores_16_20250504_200049
20250504_200049,cores,20,305.3024191856384,603734,1977.49497567165,True,full_pipeline_cores_20_20250504_200049
20250504_200049,memory,2g,288.9976189136505,603734,2089.0621945933385,True,full_pipeline_memory_2g_20250504_200049
20250504_200049,memory,4g,265.7169008255005,603734,2272.09484276079,True,full_pipeline_memory_4g_20250504_200049
20250504_200049,memory,8g,225.894602060318,603734,2672.6357978168594,True,full_pipeline_memory_8g_20250504_200049
20250504_200049,memory,12g,253.47443270683289,603734,2381.83391339621,True,full_pipeline_memory_12g_20250504_200049
20250504_200049,memory,16g,290.3394651412964,603734,2079.4072886584236,True,full_pipeline_memory_16g_20250504_200049
20250504_200049,parallelism,1,266.05913162231445,603734,2269.1722562525447,True,full_pipeline_parallelism_1_20250504_200049
20250504_200049,parallelism,2,278.80952978134155,603734,2165.399441236757,True,full_pipeline_parallelism_2_20250504_200049
20250504_200049,parallelism,4,273.25505232810974,603734,2209.415690053076,True,full_pipeline_parallelism_4_20250504_200049
20250504_200049,parallelism,8,257.8726522922516,603734,2341.209874848527,True,full_pipeline_parallelism_8_20250504_200049
20250504_200049,parallelism,16,242.279310464859,603734,2491.8925138164764,True,full_pipeline_parallelism_16_20250504_200049
